出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管佔比
"1141104","113","3498","陽程","1042","899","803","708","8.50%"
"1141104","113","3499","環天科","737","603","563","470","25.00%"
"1141104","113","3508","位速","883","727","775","640","33.30%"
"1141104","113","3511","矽瑪","1340","962","1001","859","36.84%"
"1141104","113","3512","皇龍","1187","997","806","790","0.00%"
"1141104","113","3516","亞帝歐","729","597","525","445","34.78%"
"1141104","113","3520","華盈","1161","991","756","667","33.33%"
"1141104","113","3521","鴻翊","1135","939","671","595","22.50%"
"1141104","113","3522","御嵿","1492","1323","793","717","38.69%"
"1141104","113","3523","迎輝","752","610","605","545","16.67%"
"1141104","113","3526","凡甲","3373","3113","1865","1638","37.00%"
"1141104","113","3527","聚積","1708","1485","1459","1259","33.33%"
"1141104","113","3529","力旺","3571","3240","3133","2718","11.90%"
"1141104","113","3531","先益","875","731","680","564","38.78%"
"1141104","113","3537","堡達","1411","1247","1076","979","40.00%"
"1141104","113","3540","曜越","1118","940","750","635","29.85%"
"1141104","113","3541","西柏","891","726","732","613","0.25%"
"1141104","113","3546","宇峻","1092","922","912","798","30.00%"
"1141104","113","3548","兆利","823","704","692","553","21.80%"
"1141104","113","3551","世禾","894","768","788","670","50.00%"
"1141104","113","3552","同致","1047","896","851","723","33.00%"
"1141104","113","3555","博士旺","1453","1278","1174","1173","20.00%"
"1141104","113","3556","禾瑞亞","1447","1263","1261","1026","21.00%"
"1141104","113","3558","神準","845","705","708","564","25.26%"
"1141104","113","3564","其陽","1181","994","892","742","17.00%"
"1141104","113","3567","逸昌","792","619","609","521","23.81%"
"1141104","113","3570","大塚","1360","1169","1074","878","40.43%"
"1141104","113","3577","泓格","936","782","795","655","24.55%"
"1141104","113","3580","友威科","1243","844","806","675","22.22%"
"1141104","113","3581","博磊","1238","1029","917","791","15.91%"
"1141104","113","3587","閎康","1310","1131","1143","1054","5.40%"
"1141104","113","3594","磐儀","1019","814","793","681","33.00%"
"1141104","113","3597","映興","706","574","531","492","53.00%"
"1141104","113","3609","三一東林","887","726","706","640","24.00%"
"1141104","113","3611","鼎翰","1111","943","824","648","25.00%"
"1141104","113","3615","安可","1096","973","872","609","14.00%"
"1141104","113","3623","富晶通","697","568","632","540","21.05%"
"1141104","113","3624","光頡","778","648","685","584","38.29%"
"1141104","113","3625","西勝","1016","849","836","704","30.00%"
"1141104","113","3628","盈正","1003","857","817","724","11.76%"
"1141104","113","3629","地心引力","1310","1092","641","550","25.00%"
"1141104","113","3630","新鉅科","1218","1037","822","721","9.83%"
"1141104","113","3631","晟楠","951","774","607","538","30.00%"
"1141104","113","3632","研勤","1390","1196","919","721","50.00%"
"1141104","113","3646","艾恩特","2289","2031","918","1026","37.50%"
"1141104","113","3663","鑫科","955","774","726","709","26.92%"
"1141104","113","3664","安瑞-KY","N/A","N/A","N/A","N/A","20.00%"
"1141104","113","3666","光耀","759","655","583","531","20.00%"
"1141104","113","3672","康聯訊","1092","922","858","714","16.67%"
"1141104","113","3675","德微","889","708","710","613","40.63%"
"1141104","113","3680","家登","1113","984","1040","877","34.14%"
"1141104","113","3684","榮昌","1118","955","682","553","33.33%"
"1141104","113","3685","元創精密","1392","1175","712","713","41.67%"
"1141104","113","3687","歐買尬","1123","988","803","757","53.00%"
"1141104","113","3689","湧德","1541","1290","1160","1081","0.85%"
"1141104","113","3691","碩禾","916","751","811","689","23.30%"
"1141104","113","3693","營邦","1591","1438","1384","1172","11.11%"
"1141104","113","3707","漢磊","1018","824","947","839","26.23%"
"1141104","113","3709","鑫聯大投控","3210","2910","794","657","38.78%"
"1141104","113","3710","連展投控","1305","1094","849","773","40.66%"
"1141104","113","3713","新晶投控","1697","1478","505","434","15.40%"
"1141104","113","4102","永日","916","790","725","656","5.11%"
"1141104","113","4105","東洋","1641","1311","1273","1073","58.06%"
"1141104","113","4107","邦特","788","660","626","541","22.00%"
"1141104","113","4109","加捷生醫","1017","893","518","484","61.53%"
"1141104","113","4111","濟生","759","658","616","586","25.00%"
"1141104","113","4113","聯上","1920","1681","969","901","50.00%"
"1141104","113","4114","健喬","1380","1187","1187","939","43.00%"
"1141104","113","4116","明基醫","1200","1006","910","838","24.17%"
"1141104","113","4120","友華","1569","1372","1096","932","42.00%"
"1141104","113","4121","優盛","886","730","707","651","19.40%"
"1141104","113","4123","晟德","1190","987","998","833","73.68%"
"1141104","113","4126","太醫","724","603","603","532","55.30%"
"1141104","113","4127","天良","888","752","546","499","30.77%"
"1141104","113","4128","中天","1208","1036","982","793","76.00%"
"1141104","113","4129","聯合","1018","875","848","813","30.00%"
"1141104","113","4130","健亞","1064","914","880","781","10.00%"
"1141104","113","4131","浩泰","1330","1189","712","625","0.00%"
"1141104","113","4138","曜亞","1174","975","947","767","42.11%"
"1141104","113","4139","馬光-KY","N/A","N/A","N/A","N/A","58.00%"
"1141104","113","4147","中裕","1771","1232","1037","865","58.00%"
"1141104","113","4153","鈺緯","1154","981","866","750","24.00%"
"1141104","113","4154","樂威科-KY","N/A","N/A","N/A","N/A","16.67%"
"1141104","113","4157","太景*-KY","N/A","N/A","N/A","N/A","20.00%"
"1141104","113","4160","訊聯基因","1239","1055","948","821","61.90%"
"1141104","113","4161","聿新科","902","776","634","559","64.29%"
"1141104","113","4162","智擎","3114","2740","1987","1848","20.00%"
"1141104","113","4163","鐿鈦","913","796","694","530","34.78%"
"1141104","113","4167","松瑞藥","1062","835","791","701","2.45%"
"1141104","113","4168","醣聯","1007","848","823","737","75.00%"
"1141104","113","4171","瑞基","901","748","638","573","46.67%"
"1141104","113","4173","久裕","942","787","783","733","41.86%"
"1141104","113","4174","浩鼎","1733","1477","1156","1045","43.75%"
"1141104","113","4175","杏一","583","476","610","552","50.00%"
"1141104","113","4183","福永生技","1040","854","761","644","23.53%"
"1141104","113","4188","安克","1491","1305","959","866","66.67%"
"1141104","113","4192","杏國","1066","914","711","681","23.00%"
"1141104","113","4198","欣大健康","1194","1020","1023","818","25.00%"
"1141104","113","4205","中華食","922","773","684","676","26.19%"
"1141104","113","4207","環泰","899","764","697","690","0.02%"
"1141104","113","4303","信立","1727","1540","548","529","12.50%"
"1141104","113","4304","勝昱","661","539","428","428","16.67%"
"1141104","113","4305","世坤","999","875","736","603","25.00%"
"1141104","113","4401","東隆興","884","689","697","594","28.07%"
"1141104","113","4402","郡都開發","924","758","646","544","66.67%"
"1141104","113","4406","新昕纖","674","568","498","464","20.00%"
"1141104","113","4413","飛寶企業","874","724","547","509","70.00%"
"1141104","113","4416","三圓","1763","1568","1209","1007","8.33%"
"1141104","113","4417","金洲","930","803","707","589","38.00%"
"1141104","113","4419","皇家美食","1098","967","621","462","13.55%"
"1141104","113","4420","光明","481","392","516","472","20.00%"
"1141104","113","4430","耀億","702","592","511","437","25.00%"
"1141104","113","4432","銘旺實","1094","916","911","779","33.00%"
"1141104","113","4433","興采","875","750","669","610","53.49%"
"1141104","113","4442","竣邦-KY","N/A","N/A","N/A","N/A","38.47%"
"1141104","113","4502","健信","749","631","567","536","22.20%"
"1141104","113","4503","金雨","731","629","560","504","20.00%"
"1141104","113","4506","崇友","1192","1022","956","949","7.00%"
"1141104","113","4510","高鋒","731","605","605","557","11.11%"
"1141104","113","4513","福裕","758","637","595","564","1.17%"
"1141104","113","4523","永彰","1031","867","748","677","18.00%"
"1141104","113","4527","方方土霖","1148","977","918","883","11.54%"
"1141104","113","4528","江興鍛","681","576","552","532","28.57%"
"1141104","113","4529","淳紳","1141","955","789","684","20.00%"
"1141104","113","4530","宏易","511","397","466","437","66.67%"
"1141104","113","4533","協易機","1041","900","794","743","33.33%"
"1141104","113","4534","慶騰","597","484","551","511","33.33%"
"1141104","113","4535","至興","642","471","520","471","28.60%"
"1141104","113","4538","大詠城","722","603","531","466","25.00%"
"1141104","113","4541","晟田","777","683","662","620","14.06%"
"1141104","113","4542","科嶠","942","774","733","683","2.60%"
"1141104","113","4543","萬在","702","596","503","450","47.37%"
"1141104","113","4549","桓達","766","606","624","553","27.87%"
"1141104","113","4550","長佳","1027","852","805","672","44.44%"
"1141104","113","4554","橙的","888","745","720","613","5.93%"
"1141104","113","4556","旭然","867","723","634","511",""
"1141104","113","4558","寶緯","667","539","603","499","26.42%"
"1141104","113","4561","健椿","890","765","652","577","35.00%"
"1141104","113","4563","百德","1142","987","962","916","20.00%"
"1141104","113","4568","科際精密","1259","1074","729","770","15.78%"
"1141104","113","4577","達航科技","1009","835","723","707","28.57%"
"1141104","113","4580","捷流閥業","1225","1059","1025","887","30.00%"
"1141104","113","4584","君帆","882","750","657","590","33.33%"
"1141104","113","4609","唐鋒","1119","973","742","812","40.00%"
"1141104","113","4702","中美實","1165","990","721","710","40.00%"
"1141104","113","4706","大恭","930","779","764","734","38.46%"
"1141104","113","4707","磐亞","909","745","697","636","22.58%"
"1141104","113","4711","永純","922","775","716","681","24.14%"
"1141104","113","4714","永捷","1132","1000","592","533","13.33%"
"1141104","113","4716","大立","861","716","625","583","17.65%"
"1141104","113","4721","美琪瑪","1067","904","735","631","15.38%"
"1141104","113","4726","永昕","1093","933","983","876","8.15%"
"1141104","113","4728","雙美","1149","988","826","707","35.71%"
"1141104","113","4729","熒茂","680","546","555","464","37.00%"
"1141104","113","4735","豪展","1428","1243","758","599","30.00%"
"1141104","113","4741","泓瀚","783","663","614","522","25.00%"
"1141104","113","4743","合一","1542","1167","1026","747","71.43%"
"1141104","113","4744","皇將","845","728","508","473","36.00%"
"1141104","113","4745","合富-KY","N/A","N/A","N/A","N/A","50.88%"
"1141104","113","4747","強生製藥","871","745","751","685","44.44%"
"1141104","113","4749","新應材","1495","1318","1231","1027","35.00%"
"1141104","113","4754","國碳科","1277","1121","731","659","21.43%"
"1141104","113","4760","勤凱科技","743","604","554","469","36.36%"
"1141104","113","4767","誠泰科技","1227","1051","855","798","10.00%"
"1141104","113","4768","晶呈科技","1141","967","794","684","37.50%"
"1141104","113","4772","台特化","1144","975","754","724","27.78%"
"1141104","113","4804","大略-KY","N/A","N/A","N/A","N/A","0.00%"
"1141104","113","4806","桂田文創","1086","910","557","551","13.50%"
"1141104","113","4903","聯光通","1257","1067","711","703","9.52%"
"1141104","113","4905","台聯電","1100","943","680","614","32.00%"
"1141104","113","4907","富宇","2738","2494","1040","894","22.22%"
"1141104","113","4908","前鼎","1003","859","821","571","28.89%"
"1141104","113","4909","新復興","1429","1287","585","580","19.00%"
"1141104","113","4911","德英","984","839","541","551","50.00%"
"1141104","113","4923","力士","1355","1160","766","659","12.50%"
"1141104","113","4924","欣厚-KY","N/A","N/A","N/A","N/A","10.00%"
"1141104","113","4931","新盛力","786","601","613","502","20.83%"
"1141104","113","4933","友輝","1048","906","765","646","21.25%"
"1141104","113","4939","亞電","1831","1471","1169","1249","41.00%"
"1141104","113","4946","辣椒","1084","903","668","604","25.00%"
"1141104","113","4950","牧東","1335","1180","414","685","35.71%"
"1141104","113","4951","精拓科","2096","1826","1582","1535","3.03%"
"1141104","113","4953","緯軟","1005","836","902","848","45.00%"
"1141104","113","4966","譜瑞-KY","N/A","N/A","N/A","N/A","19.00%"
"1141104","113","4971","IET-KY","N/A","N/A","N/A","N/A","22.00%"
"1141104","113","4972","湯石照明","1057","873","693","677","33.30%"
"1141104","113","4973","廣穎電通","921","773","712","530","29.47%"
"1141104","113","4974","亞泰","2598","2374","1762","1684","42.86%"
